,title,artist,af_score,review_date,pf_score,best_new_music,author,pub_date,id,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,date
68,autumn eternal,panopticon,8.0,2015-11-05,7.5,0.0,saby reyes-kulkarni,2015-10-20,32lW13bcC2gaiS7Zke8rVw,462631.0,24.25,0.2071375,0.07848005,0.848875,0.83075,0.3325,-8.97975,0.0902125,1446163200.0
69,awake,tycho,6.0,2014-03-23,7.0,0.0,nick neyland,2014-03-18,0GjrPTT00KWsalUi8jnpR9,275935.75,48.125,0.543375,0.2333625,0.73675,0.88275,0.2338,-7.592625,0.0377,1395100800.0
70,awe naturale,theesatisfaction,8.0,2012-03-26,7.5,0.0,carrie battan,2012-03-29,5Tc8E8lvxZTCliGTua3fr1,140896.15384615384,9.76923076923077,0.6752307692307693,0.3236576923076923,0.5251230769230769,0.2887590253846154,0.1739153846153846,-12.103230769230768,0.08455384615384615,1332806400.0
71,b4.da.$$,joey bada$$,8.0,2015-01-20,7.0,0.0,nate patrin,2015-02-03,1rJXQEZ5DnUalRSPB3R0WO,218865.29411764705,5.0,0.5780588235294117,0.30594117647058827,0.7862941176470589,2.048235294117647e-06,0.3075294117647059,-5.323470588235294,0.2836882352941177,1421712000.0
72,baby,white hinterland,8.0,2014-04-03,7.2,0.0,paula mejia,2014-04-04,1KsomaqFpRZYopWw8sR7Pv,282635.7,3.3,0.3868,0.5806,0.4821,0.000847064,0.23887,-8.1839,0.057929999999999995,1396310400.0
73,bad vibes,shlohmo,7.0,2011-09-02,7.8,0.0,nate patrin,2011-08-11,5KRR8tyAUT6bcMOsCfM2Lh,266569.3846153846,30.307692307692307,0.4257692307692308,0.5360023076923077,0.5473846153846154,0.6852153846153846,0.2234846153846154,-8.829153846153845,0.10945384615384615,1312848000.0
74,bankrupt!,phoenix,5.0,2013-05-09,7.5,0.0,stuart berman,2013-04-22,1s7a0VpP3aNEubiTgx6YlU,243751.6,38.1,0.38289999999999996,0.00846748,0.7412,0.1338498,0.24415,-6.3923000000000005,0.039939999999999996,1366675200.0
75,beach music,alex g,6.0,2015-10-14,7.2,0.0,pat healy,2015-10-08,0aABjw7BY2iRsK4ZdkwSjF,171638.76923076922,39.76923076923077,0.5041615384615384,0.37525930769230775,0.4369230769230769,0.17295592307692306,0.18289230769230772,-11.21723076923077,0.03288461538461539,1444348800.0
76,beams,matthew dear,8.0,2012-08-27,7.3,0.0,larry fitzmaurice,2012-08-28,7xSbqF9ZBsea0W8YFIUn1f,267347.45454545453,17.0,0.6589999999999999,0.09425487272727273,0.6931818181818182,0.37826635454545454,0.2269181818181818,-9.373636363636363,0.060727272727272734,1346025600.0
77,beat the champ,the mountain goats,8.0,2015-04-17,6.6,0.0,jeremy gordon,2015-04-06,4i54Kl9bCNCVJeeflih1rB,212104.38461538462,31.692307692307693,0.577076923076923,0.27258299999999996,0.5092307692307693,0.08798805384615385,0.20697692307692309,-9.424384615384614,0.05032307692307692,1428364800.0
78,beautiful rewind,four tet,7.0,2013-11-05,7.4,0.0,andrew gaerig,2013-10-17,7gN7gWms3Uz0GLLtLYHybk,219283.27272727274,26.818181818181817,0.6267272727272727,0.5084009090909091,0.5111545454545454,0.5312216363636364,0.1688090909090909,-15.389727272727272,0.1398909090909091,1380844800.0
79,beauty behind the madness,the weeknd,5.0,2015-08-26,7.2,0.0,andrew ryce,2015-09-02,36yJ6fcaSCVsK1tybnNizj,274968.29411764705,12.470588235294118,0.5469999999999999,0.18918823529411766,0.5414705882352941,0.00042973529411764706,0.1699529411764706,-8.142411764705882,0.06868235294117647,1458086400.0
80,because the internet,childish gambino,5.0,2013-12-10,5.8,0.0,craig jenkins,2013-12-12,4GNIhgEGXzWGAefgN5qjdU,183251.47368421053,55.473684210526315,0.49273684210526314,0.3101447368421053,0.5335263157894737,0.1810396747368421,0.21172105263157898,-11.371368421052631,0.1399578947368421,1386633600.0
81,becoming a jackal,villagers,6.0,2010-06-16,6.9,0.0,marc hogan,2010-06-11,7iv57BJ8hQM3Zo8wfZ65Nx,243097.72727272726,18.363636363636363,0.5561818181818182,0.48210909090909093,0.4106363636363637,0.05482091818181818,0.17768181818181816,-11.582090909090908,0.03841818181818182,1275955200.0
82,before a million universes,big ups,8.0,2016-03-04,7.6,0.0,quinn moreland,2016-03-11,5LPWhNZysA8WXaBCmaHspR,196372.53846153847,5.615384615384615,0.5217692307692308,0.13618692307692307,0.6856923076923077,0.29277153846153847,0.21591538461538462,-6.486461538461539,0.08956923076923078,1457049600.0
83,belong,the pains of being pure at heart,8.0,2011-03-26,8.2,1.0,ian cohen,2011-04-01,07XfK9e1xTp1zmBSUWLIgz,235928.9,0.0,0.43810000000000004,1.9407e-05,0.8221999999999999,0.7203999999999999,0.15584,-4.928,0.04318,1304985600.0
84,bend beyond,woods,7.0,2012-09-17,8.1,0.0,steven hyden,2012-09-18,5CMHNfabEoFCjYPIosFcSR,161000.91666666666,16.416666666666668,0.4043333333333334,0.350425,0.7899166666666666,0.13630720333333332,0.26110833333333333,-4.76825,0.048424999999999996,1347926400.0
85,benji,sun kil moon,9.0,2014-02-20,9.2,1.0,ian cohen,2014-02-03,2y2QZ4uDpzoZHgH2il5Ktu,337745.0909090909,34.63636363636363,0.6095454545454545,0.8742727272727273,0.31836363636363635,0.0033424536363636363,0.14054545454545456,-10.211727272727272,0.041999999999999996,1408406400.0
86,bestial burden,pharmakon,5.0,2014-10-31,8.4,1.0,larry fitzmaurice,2014-10-15,6BejmDVPKDJkpoyYjmGXeN,279990.14285714284,16.428571428571427,0.37628571428571433,0.2879335,0.4612857142857143,0.5664428571428571,0.2507142857142857,-8.733571428571429,0.0712,1413244800.0
87,beyond the fleeting gales,crying,8.0,2016-10-21,7.1,0.0,colin joyce,2016-10-26,4JjJcCjI0a7uVGmQZZyRAZ,205408.9,29.7,0.413,0.105084,0.7941,0.24564399999999997,0.24426,-4.9052,0.05997,1476403200.0
88,birds in the trap sing mcknight,travis scott,3.0,2016-09-07,7.2,0.0,matthew strauss,2016-09-08,42WVQWuf1teDysXiOupIZt,230370.7142857143,67.57142857142857,0.6737142857142857,0.20259285714285716,0.6265000000000001,0.003886032857142857,0.2274642857142857,-4.351214285714286,0.11503571428571428,1473984000.0
89,bish bosch,scott walker,7.0,2012-12-04,8.0,0.0,mike powell,2012-12-03,4oWUnRY3vid51jMl8oXKtE,487128.55555555556,14.444444444444445,0.4222222222222222,0.5906788888888889,0.39466666666666667,0.010312892222222222,0.1506222222222222,-11.477555555555556,0.16562222222222223,1354492800.0
90,black america again,common,5.0,2016-12-07,7.9,0.0,edwin stats houghton,2016-11-04,2DTbGcv40CSMW0P4yAQQBa,227407.66666666666,23.533333333333335,0.5738,0.45178666666666667,0.6022666666666667,0.06362397666666667,0.20523333333333332,-9.436466666666666,0.23795333333333335,1478217600.0
91,black city,matthew dear,7.0,2010-10-24,8.4,1.0,joe colly,2010-08-13,3URWHvduHqKfb2l7kXIdoN,282276.0,15.272727272727273,0.600909090909091,0.30874,0.6813636363636364,0.3966226363636363,0.24528181818181818,-7.700454545454545,0.07697272727272728,1280793600.0
92,black metal,dean blunt,8.0,2014-11-12,7.3,0.0,colin joyce,2014-11-17,7JFr7lrgJY7PdXuQV6L1SG,242899.15384615384,34.46153846153846,0.5246153846153846,0.20552607692307692,0.5982307692307692,0.42491538461538464,0.1568923076923077,-9.382,0.06713846153846154,1414972800.0
93,black terry cat,xenia rubinos,8.0,2016-06-11,8.0,0.0,laura snapes,2016-06-08,7hpaJ75FV7MYcKER1px2Uv,186639.7142857143,19.571428571428573,0.6949285714285713,0.3387421428571429,0.43442857142857144,0.12184949785714286,0.09977142857142858,-8.97857142857143,0.10240714285714285,1464912000.0
94,black up,shabazz palaces,8.0,2011-06-28,8.8,1.0,eric grandy,2011-06-27,2dNexssEWbK7rgh0veTjjz,216675.6,28.3,0.5636,0.18826,0.4466,0.0761975,0.14987,-12.4469,0.27969,1309219200.0
95,blackenedwhite,mellowhype,6.0,2011-07-28,8.1,0.0,tom breihan,2010-11-12,5TiOZAl59VAsAfL3hvJo49,162012.92307692306,6.230769230769231,0.6243846153846154,0.13381307692307692,0.6212307692307693,2.1788461538461538e-05,0.24027692307692305,-7.706769230769231,0.30215384615384616,1310688000.0
96,blade of the ronin,cannibal ox,5.0,2015-03-04,6.7,0.0,winston cook-wilson,2015-03-10,7kK6lPyKV0bWiRHyGwmabF,196429.7894736842,4.052631578947368,0.448,0.20384157894736843,0.7995789473684211,0.07087838842105262,0.24654736842105263,-6.051052631578948,0.23023684210526318,1425513600.0
97,blissfucker,trap them,5.0,2014-06-10,7.3,0.0,jason heller,2014-06-27,4UvIV3bGAXNEfTzJp1Wl5w,250653.72727272726,13.0,0.24881818181818183,6.260727272727272e-05,0.9068181818181817,0.9065454545454545,0.458,-3.959,0.10790909090909091,1402358400.0
98,blonde,frank ocean,8.0,2016-08-23,9.0,1.0,ryan dombal,2016-08-25,3mH6qwIy9crq0I9YQbOuDf,212784.41176470587,70.29411764705883,0.4963529411764706,0.7189411764705882,0.39285882352941176,0.002041509411764706,0.21059411764705882,-11.110588235294117,0.19035882352941177,1471651200.0
99,blood,lianne la havas,8.0,2015-08-05,7.7,0.0,hannah giorgis,2015-07-28,0OyUgwL97FT5MWpBLqL6br,243590.5,36.3,0.5197,0.4423,0.4984,0.002890048,0.20990999999999999,-8.8619,0.06089,1438300800.0
100,blood for the master,goatwhore,7.0,2012-02-17,4.8,0.0,grayson currin,2012-02-22,3pcqyG46XxOrZb2rAyIdpm,229639.8,17.1,0.38839999999999997,5.8872e-05,0.9907,0.52275,0.26238,-4.6988,0.17877,1329177600.0
101,blood pressures,the kills,4.0,2011-04-22,6.4,0.0,stuart berman,2011-04-06,0PjRCiXdp6TQPXojFRB0AX,229132.0,29.272727272727273,0.6404545454545455,0.2676090909090909,0.7078181818181818,0.17834167272727272,0.12943636363636363,-6.079909090909092,0.05882727272727273,1301961600.0
