,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
42,Ode To Viceroy,2,Mac DeMarco,2013-08-09,233760,44,0.515,0.237,0.515,0.637,0.0242,0.129,-6.382,0.0494,94.719,4
43,Robson Girl,2,Mac DeMarco,2013-08-09,176013,28,0.454,0.0606,0.454,0.867,0.00665,0.274,-6.108,0.0521,178.456,4
44,The Stars Keep On Calling My Name,2,Mac DeMarco,2013-08-09,142743,33,0.687,0.031,0.687,0.722,0.00711,0.379,-5.827,0.033,136.621,4
45,My Kind Of Woman,2,Mac DeMarco,2013-08-09,190848,63,0.5,0.00331,0.5,0.774,0.62,0.185,-7.062,0.0279,91.769,4
46,Boe Zaah,2,Mac DeMarco,2013-08-09,101480,26,0.633,0.413,0.633,0.683,0.914,0.248,-10.28,0.0717,144.773,4
47,Sherrill,2,Mac DeMarco,2013-08-09,149533,26,0.47,0.0793,0.47,0.708,0.00137,0.0912,-6.647,0.0445,80.283,4
48,Still Together,2,Mac DeMarco,2013-08-09,219373,33,0.656,0.631,0.656,0.152,0.00082,0.0647,-14.07,0.0525,97.452,4
49,Cooking Up Something Good - Demo,2,Mac DeMarco,2013-08-09,127500,23,0.519,0.895,0.519,0.6,0.75,0.107,-10.053,0.0599,108.997,3
50,Dreamin' Fast - Demo,2,Mac DeMarco,2013-08-09,103500,28,0.171,0.000958,0.171,0.827,0.387,0.435,-5.424,0.188,165.153,4
51,Intro,2014 Forest Hills Drive,J. Cole,2014-12-09,129153,14,0.383,0.858,0.383,0.263,0.0551,0.101,-14.756,0.0507,85.84,4
52,January 28th,2014 Forest Hills Drive,J. Cole,2014-12-09,242697,16,0.597,0.242,0.597,0.568,0.0,0.0838,-8.559,0.342,84.052,4
53,Wet Dreamz,2014 Forest Hills Drive,J. Cole,2014-12-09,239266,17,0.495,0.0697,0.495,0.722,0.0,0.113,-8.108,0.357,175.627,4
54,03’ Adolescence,2014 Forest Hills Drive,J. Cole,2014-12-09,264213,16,0.528,0.395,0.528,0.811,0.0,0.274,-6.181,0.59,70.58,4
55,A Tale Of 2 Citiez,2014 Forest Hills Drive,J. Cole,2014-12-09,269721,17,0.771,0.553,0.771,0.536,1.05e-06,0.294,-8.534,0.323,94.995,4
56,Fire Squad,2014 Forest Hills Drive,J. Cole,2014-12-09,288123,16,0.551,0.279,0.551,0.755,0.0,0.508,-7.053,0.419,175.895,4
57,St. Tropez,2014 Forest Hills Drive,J. Cole,2014-12-09,257872,15,0.63,0.0507,0.63,0.541,0.0185,0.0659,-9.625,0.0692,84.524,4
58,G.O.M.D,2014 Forest Hills Drive,J. Cole,2014-12-09,301064,17,0.889,0.322,0.889,0.4,1.32e-05,0.331,-10.586,0.26,128.073,4
59,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,292799,16,0.69,0.324,0.69,0.521,0.0,0.0534,-8.492,0.339,100.028,4
60,Hello,2014 Forest Hills Drive,J. Cole,2014-12-09,219173,14,0.656,0.0829,0.656,0.724,1.17e-05,0.106,-8.432,0.208,159.991,4
61,Apparently,2014 Forest Hills Drive,J. Cole,2014-12-09,292865,16,0.802,0.605,0.802,0.544,0.0,0.102,-9.212,0.0686,133.992,4
62,Love Yourz,2014 Forest Hills Drive,J. Cole,2014-12-09,211496,16,0.677,0.589,0.677,0.638,0.0,0.193,-8.631,0.333,82.81,4
63,Note To Self,2014 Forest Hills Drive,J. Cole,2014-12-09,875306,13,0.641,0.86,0.641,0.456,0.0,0.171,-8.589,0.117,82.31,4
64,22 (OVER S∞∞N),"22, A Million",Bon Iver,2016-09-30,168000,56,0.323,0.972,0.323,0.112,0.106,0.0935,-15.767,0.0351,86.564,4
65,10 d E A T h b R E a s T ⚄ ⚄,"22, A Million",Bon Iver,2016-09-30,144000,50,0.69,0.302,0.69,0.789,0.113,0.0532,-7.031,0.157,109.202,4
66,715 - CR∑∑KS,"22, A Million",Bon Iver,2016-09-30,132000,57,0.461,0.878,0.461,0.161,0.0,0.17,-11.145,0.405,88.781,3
67,33 “GOD”,"22, A Million",Bon Iver,2016-09-30,213000,61,0.469,0.83,0.469,0.392,0.0277,0.0937,-10.472,0.0418,133.33,4
68,29 #Strafford APTS,"22, A Million",Bon Iver,2016-09-30,245200,59,0.287,0.971,0.287,0.229,0.408,0.109,-14.678,0.0327,80.728,4
69,666 ʇ,"22, A Million",Bon Iver,2016-09-30,252000,56,0.634,0.9,0.634,0.341,0.0297,0.187,-12.356,0.0337,110.008,4
70,21 M◊◊N WATER,"22, A Million",Bon Iver,2016-09-30,188000,49,0.134,0.963,0.134,0.348,0.77,0.109,-11.569,0.0369,78.832,3
71,8 (circle),"22, A Million",Bon Iver,2016-09-30,309013,59,0.411,0.911,0.411,0.407,0.0478,0.0999,-10.77,0.0349,125.127,4
72,____45_____,"22, A Million",Bon Iver,2016-09-30,166106,50,0.41,0.971,0.41,0.121,0.0132,0.148,-15.473,0.0575,86.358,3
73,00000 Million,"22, A Million",Bon Iver,2016-09-30,233982,54,0.385,0.977,0.385,0.103,8.04e-05,0.0845,-17.051,0.0384,126.996,4
74,24K Magic,24K Magic,Bruno Mars,2016-11-17,225983,80,0.818,0.034,0.818,0.803,0.0,0.153,-4.282,0.0797,106.97,4
75,Chunky,24K Magic,Bruno Mars,2016-11-17,186973,72,0.571,0.0208,0.571,0.539,0.0,0.125,-4.446,0.116,202.103,4
76,Perm,24K Magic,Bruno Mars,2016-11-17,210053,68,0.853,0.0145,0.853,0.871,6.84e-05,0.198,-3.715,0.0851,124.021,4
77,That's What I Like,24K Magic,Bruno Mars,2016-11-17,206693,84,0.853,0.013,0.853,0.56,0.0,0.0944,-4.961,0.0406,134.066,4
78,Versace on the Floor,24K Magic,Bruno Mars,2016-11-17,261240,77,0.578,0.196,0.578,0.574,0.0,0.083,-6.209,0.0454,174.152,4
79,Straight up & Down,24K Magic,Bruno Mars,2016-11-17,198186,68,0.552,0.0209,0.552,0.733,0.0,0.0858,-6.898,0.0933,143.56,4
80,Calling All My Lovelies,24K Magic,Bruno Mars,2016-11-17,250080,67,0.662,0.0392,0.662,0.705,2.38e-06,0.105,-6.56,0.0399,159.996,4
81,Finesse,24K Magic,Bruno Mars,2016-11-17,191000,71,0.741,0.00781,0.741,0.798,0.0,0.0232,-5.342,0.0718,104.953,4
82,Too Good to Say Goodbye,24K Magic,Bruno Mars,2016-11-17,281826,69,0.587,0.0389,0.587,0.63,0.0,0.35,-6.054,0.0311,76.97,4
83,Hello,25,Adele,2015-11-20,295502,79,0.578,0.33,0.578,0.43,0.0,0.0854,-6.134,0.0305,78.991,4
84,Send My Love (To Your New Lover),25,Adele,2015-11-20,223078,80,0.688,0.0355,0.688,0.533,3.48e-06,0.172,-8.363,0.0865,164.069,4
85,I Miss You,25,Adele,2015-11-20,348625,69,0.382,0.00982,0.382,0.578,1.44e-05,0.433,-4.246,0.047,113.072,4
86,When We Were Young,25,Adele,2015-11-20,290900,81,0.376,0.303,0.376,0.595,0.0,0.095,-5.936,0.0496,144.361,4
87,Remedy,25,Adele,2015-11-20,245426,71,0.405,0.894,0.405,0.3,0.0,0.154,-6.475,0.0378,162.355,3
88,Water Under the Bridge,25,Adele,2015-11-20,240439,76,0.59,0.0142,0.59,0.833,5.4e-06,0.105,-6.503,0.0615,94.963,4
89,River Lea,25,Adele,2015-11-20,225426,68,0.384,0.0591,0.384,0.585,1.77e-06,0.116,-5.588,0.0311,82.378,4
90,Love In The Dark,25,Adele,2015-11-20,285935,81,0.331,0.528,0.331,0.341,0.0,0.109,-6.057,0.0309,109.821,4
91,Million Years Ago,25,Adele,2015-11-20,227065,71,0.72,0.742,0.72,0.274,0.0,0.11,-7.623,0.0276,105.929,4
