,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
2661,Zero Pharoah,Get To Heaven,Everything Everything,2016-02-26,219373,8,0.416,0.393,0.416,0.766,0.00513,0.392,-7.343,0.0603,195.709,4
2662,No Reptiles,Get To Heaven,Everything Everything,2016-02-26,282853,9,0.631,0.0339,0.631,0.515,0.00124,0.116,-9.038,0.0245,154.935,4
2663,Warm Healer,Get To Heaven,Everything Everything,2016-02-26,370173,8,0.596,0.177,0.596,0.428,0.885,0.134,-11.389,0.0371,127.492,3
2664,Forgiven,Ghettoville,Actress,2014-01-27,442640,0,0.601,0.827,0.601,0.833,0.634,0.344,-7.636,0.293,112.988,4
2665,Street Corp.,Ghettoville,Actress,2014-01-27,332493,0,0.376,0.869,0.376,0.834,0.846,0.121,-9.584,0.766,81.775,5
2666,Corner,Ghettoville,Actress,2014-01-27,261200,0,0.862,0.0844,0.862,0.6,0.862,0.0956,-6.942,0.274,80.027,3
2667,Rims,Ghettoville,Actress,2014-01-27,351720,0,0.731,0.0421,0.731,0.196,0.00551,0.097,-10.71,0.121,91.175,4
2668,Contagious,Ghettoville,Actress,2014-01-27,284546,0,0.46,0.000216,0.46,0.787,0.867,0.106,-6.081,0.0447,108.054,4
2669,Birdcage,Ghettoville,Actress,2014-01-27,154586,0,0.832,0.277,0.832,0.858,0.844,0.255,-7.99,0.195,106.721,4
2670,Our,Ghettoville,Actress,2014-01-27,152040,1,0.54,0.831,0.54,0.681,0.801,0.121,-5.092,0.052,119.756,4
2671,Time,Ghettoville,Actress,2014-01-27,363720,0,0.449,0.42,0.449,0.681,0.721,0.1,-10.156,0.0688,119.613,4
2672,Towers,Ghettoville,Actress,2014-01-27,207160,0,0.445,0.166,0.445,0.584,0.255,0.0901,-9.95,0.132,136.837,3
2673,Gaze,Ghettoville,Actress,2014-01-27,303400,0,0.727,0.0386,0.727,0.959,0.873,0.0914,-6.253,0.548,121.967,4
2674,Skyline,Ghettoville,Actress,2014-01-27,352066,0,0.672,0.0129,0.672,0.648,0.905,0.168,-10.833,0.29,119.999,4
2675,Image,Ghettoville,Actress,2014-01-27,149320,0,0.627,8.27e-06,0.627,0.85,0.118,0.313,-9.753,0.0422,111.728,4
2676,Don’t,Ghettoville,Actress,2014-01-27,76760,0,0.409,0.9,0.409,0.233,0.00277,0.117,-7.329,0.0343,96.239,4
2677,Rap,Ghettoville,Actress,2014-01-27,160013,1,0.7,0.0455,0.7,0.631,0.848,0.296,-11.377,0.065,137.912,4
2678,Frontline,Ghettoville,Actress,2014-01-27,347586,0,0.657,0.335,0.657,0.693,0.936,0.391,-10.493,0.381,119.99,4
2679,Rule,Ghettoville,Actress,2014-01-27,228453,0,0.577,0.00472,0.577,0.894,0.639,0.183,-4.736,0.187,81.627,4
2680,Always in My Head,Ghost Stories,Coldplay,2014-05-19,216626,66,0.495,0.0127,0.495,0.502,0.689,0.068,-9.307,0.0259,97.546,3
2681,Magic,Ghost Stories,Coldplay,2014-05-19,285014,75,0.738,0.0266,0.738,0.482,0.621,0.106,-8.917,0.0402,93.457,4
2682,Ink,Ghost Stories,Coldplay,2014-05-19,228373,62,0.688,0.0647,0.688,0.705,0.124,0.118,-7.311,0.0323,112.019,4
2683,True Love,Ghost Stories,Coldplay,2014-05-19,246000,58,0.482,0.00376,0.482,0.573,0.077,0.123,-7.966,0.028,119.991,4
2684,Midnight,Ghost Stories,Coldplay,2014-05-19,294666,65,0.548,0.615,0.548,0.475,0.808,0.0944,-12.42,0.0355,126.974,4
2685,Another's Arms,Ghost Stories,Coldplay,2014-05-19,234413,56,0.516,0.00715,0.516,0.572,0.254,0.139,-9.037,0.0291,160.023,4
2686,Oceans,Ghost Stories,Coldplay,2014-05-19,321680,55,0.194,0.919,0.194,0.132,0.181,0.159,-15.783,0.0349,74.845,4
2687,A Sky Full of Stars,Ghost Stories,Coldplay,2014-05-19,267866,80,0.545,0.00617,0.545,0.675,0.00197,0.209,-6.474,0.0279,124.97,4
2688,O,Ghost Stories,Coldplay,2014-05-19,323480,65,0.371,0.911,0.371,0.216,0.826,0.0934,-14.727,0.0358,136.998,4
2689,A Letter,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,95972,34,0.588,0.181,0.588,0.717,3.9e-06,0.151,-4.568,0.175,94.29,4
2690,Ease Your Mind,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,268679,23,0.552,0.254,0.552,0.837,0.0,0.123,-6.585,0.262,87.31,4
2691,Maybe One Day,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,236465,36,0.508,0.197,0.508,0.602,0.0,0.289,-8.205,0.268,96.844,4
2692,I Am Jean,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,194052,20,0.579,0.359,0.579,0.811,0.0,0.0988,-7.17,0.361,95.138,4
2693,O Heaven,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,199878,44,0.492,0.156,0.492,0.747,1.72e-06,0.361,-6.606,0.135,90.219,4
2694,More Out of Life,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,234158,23,0.34,0.185,0.34,0.777,0.0,0.0784,-7.263,0.143,95.564,4
2695,The Only One,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,215233,31,0.609,0.228,0.609,0.815,0.0,0.184,-7.122,0.322,94.033,4
2696,Money,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,169479,19,0.684,0.128,0.684,0.693,0.0,0.264,-6.751,0.317,95.391,4
2697,Mask Your Soul,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,114238,22,0.567,0.0843,0.567,0.756,1.93e-06,0.431,-7.454,0.204,94.326,4
2698,Good Morning Neighbor,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,125026,29,0.578,0.0908,0.578,0.645,0.0,0.641,-5.834,0.243,84.821,4
2699,Growing Pains,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,248758,26,0.657,0.148,0.657,0.871,0.0,0.112,-4.623,0.225,95.011,4
2700,Don't Be Jelly,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,213253,22,0.45,0.0775,0.45,0.744,2.28e-06,0.515,-6.113,0.39,180.27,4
2701,Berries and Juices,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,130008,18,0.634,0.158,0.634,0.83,0.0,0.342,-4.744,0.294,89.985,4
2702,The Great Escape,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,196318,19,0.394,0.00699,0.394,0.871,0.0,0.279,-6.194,0.32,91.641,4
2703,Seasons,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,161112,19,0.593,0.6,0.593,0.777,0.0,0.108,-6.641,0.369,93.654,4
2704,A Man,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,271185,19,0.394,0.0181,0.394,0.596,0.0,0.0851,-11.501,0.243,131.743,3
2705,Cent from Heaven,Give Me My Flowers While I Can Still Smell Them,Blu & Exile,2012-09-04,192361,20,0.509,0.55,0.509,0.519,0.782,0.0792,-10.951,0.294,82.21,4
2706,Given To The Wild (Intro),Given To The Wild,The Maccabees,2012,131413,25,0.111,0.954,0.111,0.0326,0.851,0.102,-27.248,0.0452,156.872,4
2707,Child,Given To The Wild,The Maccabees,2012,271093,28,0.333,0.0671,0.333,0.785,0.172,0.135,-4.74,0.0357,143.342,4
2708,Feel To Follow,Given To The Wild,The Maccabees,2012,209293,33,0.51,0.00298,0.51,0.672,0.0293,0.0979,-6.208,0.0521,91.447,4
2709,Ayla,Given To The Wild,The Maccabees,2012,227000,29,0.439,0.0293,0.439,0.923,0.694,0.504,-4.306,0.0487,100.986,3
2710,Glimmer,Given To The Wild,The Maccabees,2012,243866,30,0.333,0.362,0.333,0.646,0.196,0.427,-8.304,0.0505,161.98,4
2711,Forever I've Known,Given To The Wild,The Maccabees,2012,321506,27,0.233,0.0702,0.233,0.576,0.858,0.461,-7.59,0.0363,105.143,4
2712,Heave,Given To The Wild,The Maccabees,2012,264600,25,0.372,0.403,0.372,0.694,0.025,0.123,-7.174,0.0348,140.0,4
2713,Pelican,Given To The Wild,The Maccabees,2012,224786,45,0.392,0.17,0.392,0.915,1.78e-05,0.584,-4.405,0.066,184.209,4
2714,Went Away,Given To The Wild,The Maccabees,2012,218880,29,0.49,0.0263,0.49,0.887,0.0906,0.109,-5.889,0.0591,160.014,4
2715,Go,Given To The Wild,The Maccabees,2012,252933,25,0.504,0.0138,0.504,0.622,0.0711,0.677,-6.177,0.0506,140.011,4
2716,Unknow,Given To The Wild,The Maccabees,2012,307200,26,0.452,0.00364,0.452,0.76,0.644,0.117,-7.404,0.0398,139.059,4
2717,Slowly One,Given To The Wild,The Maccabees,2012,257293,22,0.474,0.0381,0.474,0.565,0.768,0.084,-8.04,0.0352,139.169,4
2718,Grew Up At Midnight,Given To The Wild,The Maccabees,2012,240626,32,0.318,0.0116,0.318,0.465,0.000676,0.115,-9.526,0.0368,155.008,4
2719,Glass Swords,Glass Swords,Rustie,2011-10-31,140693,20,0.178,0.00139,0.178,0.475,0.888,0.186,-9.773,0.036,109.578,3
2720,Flash Back,Glass Swords,Rustie,2011-10-31,227360,19,0.364,0.00117,0.364,0.808,0.00554,0.298,-6.589,0.0538,120.858,4
2721,Surph,Glass Swords,Rustie,2011-10-31,273906,27,0.775,0.0926,0.775,0.838,0.0468,0.069,-7.415,0.163,143.943,4
2722,Hover Traps,Glass Swords,Rustie,2011-10-31,180866,21,0.728,0.0534,0.728,0.906,0.575,0.235,-6.103,0.0359,132.014,4
2723,City Star,Glass Swords,Rustie,2011-10-31,188893,21,0.566,0.0853,0.566,0.65,0.0258,0.123,-4.664,0.0304,135.97,4
2724,Globes,Glass Swords,Rustie,2011-10-31,166760,18,0.296,0.00293,0.296,0.761,0.0325,0.07,-11.023,0.0654,127.074,4
2725,Ultra Thizz,Glass Swords,Rustie,2011-10-31,239613,25,0.36,0.153,0.36,0.895,0.608,0.174,-6.013,0.538,189.709,5
2726,Death Mountain,Glass Swords,Rustie,2011-10-31,204546,19,0.73,0.0285,0.73,0.685,0.0722,0.334,-4.391,0.41,146.056,4
2727,Cry Flames,Glass Swords,Rustie,2011-10-31,228480,26,0.597,0.0428,0.597,0.981,0.792,0.444,-5.138,0.137,129.925,4
2728,After Light,Glass Swords,Rustie,2011-10-31,222693,35,0.331,0.00482,0.331,0.695,0.844,0.0726,-7.1,0.0394,95.908,5
2729,Ice Tunnels,Glass Swords,Rustie,2011-10-31,77760,14,0.314,0.119,0.314,0.525,0.0033,0.467,-11.06,0.0764,137.574,4
2730,All Nite,Glass Swords,Rustie,2011-10-31,188373,20,0.605,0.00115,0.605,0.913,0.353,0.111,-5.028,0.0477,143.917,4
2731,Crystal Echo,Glass Swords,Rustie,2011-10-31,202480,15,0.198,0.00133,0.198,0.744,0.0338,0.101,-6.21,0.0467,93.603,4
2732,Feel the Lightning,Gliss Riffer,Dan Deacon,2015-02-23,293413,45,0.5,0.0456,0.5,0.77,0.793,0.144,-7.75,0.0439,94.999,4
2733,Sheathed Wings,Gliss Riffer,Dan Deacon,2015-02-23,248520,30,0.449,6.38e-05,0.449,0.89,0.0712,0.46,-6.118,0.0643,100.011,4
2734,When I Was Done Dying,Gliss Riffer,Dan Deacon,2015-02-23,258959,56,0.426,0.0449,0.426,0.815,0.0307,0.104,-7.566,0.0666,195.123,3
2735,Meme Generator,Gliss Riffer,Dan Deacon,2015-02-23,271293,34,0.597,0.0693,0.597,0.797,0.922,0.121,-6.716,0.0452,99.999,4
2736,Mind On Fire,Gliss Riffer,Dan Deacon,2015-02-23,231160,29,0.493,0.000129,0.493,0.872,0.205,0.41,-7.919,0.0427,160.044,4
2737,Learning to Relax,Gliss Riffer,Dan Deacon,2015-02-23,404946,33,0.438,0.00178,0.438,0.938,0.38,0.124,-6.586,0.0461,165.006,4
2738,Take it to the Max,Gliss Riffer,Dan Deacon,2015-02-23,468440,25,0.612,0.496,0.612,0.893,0.881,0.196,-9.99,0.0408,120.002,3
2739,Steely Blues,Gliss Riffer,Dan Deacon,2015-02-23,455506,23,0.174,0.498,0.174,0.4,0.854,0.0741,-11.539,0.0489,119.995,4
2740,Africastle,Gloss Drop,Battles,2011-06-20,348240,25,0.552,0.00791,0.552,0.717,0.902,0.136,-8.083,0.0517,129.975,4
2741,Ice Cream (Featuring Matias Aguayo),Gloss Drop,Battles,2011-06-20,276960,37,0.711,0.104,0.711,0.791,0.000372,0.101,-5.5,0.138,105.856,4
2742,Futura,Gloss Drop,Battles,2011-06-20,377493,32,0.724,0.0447,0.724,0.745,0.764,0.0546,-7.453,0.0566,99.974,4
2743,Inchworm,Gloss Drop,Battles,2011-06-20,292040,25,0.801,0.00297,0.801,0.72,0.857,0.0793,-8.757,0.0637,100.481,4
2744,Wall Street,Gloss Drop,Battles,2011-06-20,324960,23,0.596,0.00331,0.596,0.84,0.624,0.378,-7.054,0.149,150.03,4
2745,My Machines (Featuring Gary Numan),Gloss Drop,Battles,2011-06-20,235386,26,0.522,9.23e-05,0.522,0.791,0.803,0.123,-7.436,0.105,149.049,4
2746,Dominican Fade,Gloss Drop,Battles,2011-06-20,108733,20,0.803,0.0166,0.803,0.911,0.921,0.0651,-6.082,0.0955,117.904,4
2747,Sweetie & Shag (Featuring Kazu Makino),Gloss Drop,Battles,2011-06-20,230080,23,0.658,0.00242,0.658,0.749,0.0736,0.105,-6.516,0.0338,132.983,3
2748,Toddler,Gloss Drop,Battles,2011-06-20,71160,18,0.434,0.692,0.434,0.061,0.608,0.346,-13.248,0.0623,83.311,4
2749,Rolls Bayce,Gloss Drop,Battles,2011-06-20,126333,18,0.593,0.000272,0.593,0.735,0.893,0.0729,-6.542,0.0619,173.13,4
2750,White Electric,Gloss Drop,Battles,2011-06-20,374480,18,0.31,0.000741,0.31,0.814,0.796,0.0924,-6.905,0.0506,77.882,3
2751,Sundome (Featuring Yamantaka Eye),Gloss Drop,Battles,2011-06-20,467880,19,0.779,0.035,0.779,0.723,0.187,0.214,-6.402,0.035,98.718,1
2752,L Y F,Go Tell Fire to the Mountain,WU LYF,2011-06-13,270573,27,0.263,0.0356,0.263,0.594,0.282,0.262,-7.872,0.0332,128.87,4
2753,Cave Song,Go Tell Fire to the Mountain,WU LYF,2011-06-13,228133,23,0.275,0.111,0.275,0.95,0.0272,0.118,-5.301,0.101,135.53,4
2754,Such a Sad Puppy Dog,Go Tell Fire to the Mountain,WU LYF,2011-06-13,331293,22,0.218,0.13,0.218,0.492,0.000605,0.11,-9.021,0.0343,102.634,4
2755,Summas Bliss,Go Tell Fire to the Mountain,WU LYF,2011-06-13,240040,21,0.268,0.186,0.268,0.813,0.454,0.161,-8.159,0.0752,134.735,4
2756,We Bros,Go Tell Fire to the Mountain,WU LYF,2011-06-13,386826,29,0.308,0.21,0.308,0.827,0.000225,0.255,-7.393,0.105,127.972,4
2757,Spitting Blood,Go Tell Fire to the Mountain,WU LYF,2011-06-13,227306,25,0.373,0.201,0.373,0.739,3.5e-05,0.333,-7.074,0.079,132.816,4
2758,Dirt,Go Tell Fire to the Mountain,WU LYF,2011-06-13,198066,24,0.297,0.2,0.297,0.712,0.361,0.136,-7.009,0.0536,132.917,4
2759,Concrete Gold,Go Tell Fire to the Mountain,WU LYF,2011-06-13,334826,23,0.236,0.0504,0.236,0.763,0.493,0.107,-7.008,0.0491,136.09,4
2760,14 Crowns for Me & Your Friends,Go Tell Fire to the Mountain,WU LYF,2011-06-13,281133,20,0.253,0.47,0.253,0.634,0.116,0.0919,-9.175,0.0574,139.526,4
2761,Heavy Pop,Go Tell Fire to the Mountain,WU LYF,2011-06-13,334266,34,0.204,0.0982,0.204,0.63,0.0185,0.161,-7.848,0.0453,133.183,4
2762,Doors,GO:OD AM,Mac Miller,2015-09-18,78013,55,0.497,0.916,0.497,0.177,5.41e-06,0.343,-15.09,0.0392,134.115,4
2763,Brand Name,GO:OD AM,Mac Miller,2015-09-18,302133,62,0.385,0.0565,0.385,0.71,7.24e-06,0.0632,-5.158,0.0805,148.385,4
2764,Rush Hour,GO:OD AM,Mac Miller,2015-09-18,201840,62,0.602,0.262,0.602,0.472,0.0,0.172,-5.375,0.265,163.817,4
2765,Two Matches (feat. Ab-Soul),GO:OD AM,Mac Miller,2015-09-18,276386,54,0.622,0.204,0.622,0.873,0.0,0.572,-4.995,0.298,79.715,4
2766,100 Grandkids,GO:OD AM,Mac Miller,2015-09-18,278506,66,0.735,0.371,0.735,0.749,0.0,0.47,-3.766,0.0874,93.718,4
2767,Time Flies (feat. Lil B),GO:OD AM,Mac Miller,2015-09-18,173013,54,0.527,0.585,0.527,0.807,0.0,0.34,-5.472,0.394,79.788,4
2768,Weekend (feat. Miguel),GO:OD AM,Mac Miller,2015-09-18,208080,79,0.843,0.47,0.843,0.435,0.0,0.147,-8.442,0.178,120.058,4
2769,Clubhouse,GO:OD AM,Mac Miller,2015-09-18,180866,61,0.785,0.235,0.785,0.616,0.0,0.2,-5.927,0.239,115.187,4
2770,In the Bag,GO:OD AM,Mac Miller,2015-09-18,275506,55,0.717,0.301,0.717,0.634,0.0,0.396,-6.887,0.409,143.812,4
2771,Break the Law,GO:OD AM,Mac Miller,2015-09-18,195840,56,0.464,0.193,0.464,0.775,0.0,0.155,-5.374,0.263,148.442,4
2772,Perfect Circle / God Speed,GO:OD AM,Mac Miller,2015-09-18,475826,61,0.463,0.469,0.463,0.561,0.0,0.157,-6.943,0.235,85.148,4
2773,When in Rome,GO:OD AM,Mac Miller,2015-09-18,223120,55,0.837,0.0513,0.837,0.699,0.0,0.262,-4.301,0.074,124.04,4
2774,ROS,GO:OD AM,Mac Miller,2015-09-18,343213,68,0.535,0.601,0.535,0.448,0.0,0.376,-8.919,0.175,120.554,4
2775,Cut the Check (feat. Chief Keef),GO:OD AM,Mac Miller,2015-09-18,170706,55,0.832,0.0596,0.832,0.743,0.0,0.257,-6.706,0.228,100.004,4
2776,Ascension,GO:OD AM,Mac Miller,2015-09-18,292466,60,0.756,0.346,0.756,0.523,0.0,0.191,-6.321,0.141,120.025,4
2777,Jump,GO:OD AM,Mac Miller,2015-09-18,279733,56,0.649,0.0597,0.649,0.783,0.0,0.735,-7.187,0.0734,132.986,4
2778,The Festival (feat. Little Dragon),GO:OD AM,Mac Miller,2015-09-18,278693,53,0.574,0.806,0.574,0.489,0.00335,0.27,-8.177,0.165,133.675,4
2779,Alibi,Goddess,BANKS,2014-09-08,228360,2,0.638,0.232,0.638,0.729,0.0171,0.0614,-7.242,0.0339,155.021,4
2780,Goddess,Goddess,BANKS,2014-09-08,192186,3,0.41,0.107,0.41,0.389,0.0118,0.114,-9.264,0.061,136.698,4
2781,Waiting Game,Goddess,BANKS,2014-09-08,207720,12,0.336,0.621,0.336,0.401,0.000194,0.158,-10.345,0.0365,128.32,4
2782,Brain,Goddess,BANKS,2014-09-08,282306,7,0.306,0.234,0.306,0.494,0.0211,0.14,-8.624,0.0377,89.787,4
2783,This Is What It Feels Like,Goddess,BANKS,2014-09-08,302626,4,0.421,0.187,0.421,0.486,0.05,0.17,-8.836,0.0363,141.895,4
2784,You Should Know Where I’m Coming From,Goddess,BANKS,2014-09-08,235586,3,0.444,0.608,0.444,0.33,0.0,0.121,-7.496,0.0266,73.022,4
2785,Stick,Goddess,BANKS,2014-09-08,313706,2,0.731,0.244,0.731,0.457,0.0945,0.198,-11.842,0.0454,106.017,4
2786,F*** Em Only We Know,Goddess,BANKS,2014-09-08,201506,2,0.544,0.569,0.544,0.664,0.00691,0.0721,-8.37,0.0374,85.997,4
2787,Drowning,Goddess,BANKS,2014-09-08,249626,5,0.444,0.488,0.444,0.607,0.00102,0.28,-7.758,0.0555,162.275,4
2788,Beggin For Thread,Goddess,BANKS,2014-09-08,249746,11,0.599,0.000721,0.599,0.705,0.0536,0.255,-6.183,0.0278,108.002,4
2789,Change,Goddess,BANKS,2014-09-08,256640,1,0.534,0.707,0.534,0.571,0.274,0.132,-9.052,0.0392,119.935,4
2790,Someone New,Goddess,BANKS,2014-09-08,281013,3,0.565,0.927,0.565,0.219,0.000174,0.118,-12.736,0.0325,86.778,4
2791,Warm Water,Goddess,BANKS,2014-09-08,208800,2,0.337,0.956,0.337,0.312,0.00241,0.099,-15.036,0.417,199.891,4
2792,Under The Table,Goddess,BANKS,2014-09-08,249453,1,0.318,0.977,0.318,0.171,1.66e-06,0.0952,-8.575,0.0481,71.804,4
2793,Prayers / Triangles,Gore,Deftones,2016-04-08,217920,51,0.381,0.000107,0.381,0.905,0.43,0.211,-5.05,0.0676,142.545,4
2794,Acid Hologram,Gore,Deftones,2016-04-08,245826,43,0.151,0.00284,0.151,0.931,0.611,0.574,-4.336,0.0901,94.087,4
2795,Doomed User,Gore,Deftones,2016-04-08,266866,42,0.122,2.62e-06,0.122,0.95,0.144,0.108,-3.803,0.0946,165.863,3
2796,Geometric Headdress,Gore,Deftones,2016-04-08,209053,40,0.413,7.16e-06,0.413,0.842,0.123,0.11,-3.251,0.0379,111.983,3
2797,Hearts / Wires,Gore,Deftones,2016-04-08,320546,55,0.507,0.0228,0.507,0.52,0.325,0.108,-8.725,0.0355,127.03,4
2798,Pittura Infamante,Gore,Deftones,2016-04-08,243600,39,0.174,1.96e-05,0.174,0.838,0.00627,0.317,-5.02,0.0417,108.122,3
2799,Xenon,Gore,Deftones,2016-04-08,197160,39,0.267,0.00018,0.267,0.895,0.264,0.441,-4.15,0.0456,142.931,4
2800,(L)MIRL,Gore,Deftones,2016-04-08,302413,41,0.312,0.00116,0.312,0.759,0.791,0.108,-4.992,0.0342,140.069,4
2801,Gore,Gore,Deftones,2016-04-08,299160,41,0.332,0.000199,0.332,0.912,0.314,0.112,-5.891,0.0623,142.026,4
2802,Phantom Bride,Gore,Deftones,2016-04-08,293053,55,0.266,0.0158,0.266,0.654,0.497,0.11,-6.438,0.0466,47.73,3
2803,Rubicon,Gore,Deftones,2016-04-08,297840,40,0.242,9.59e-06,0.242,0.865,0.851,0.109,-4.512,0.048,148.857,4
2804,Take a Walk,Gossamer,Passion Pit,2012-08-08,264493,4,0.566,0.0338,0.566,0.755,0.0,0.315,-5.526,0.0368,101.006,4
2805,I'll Be Alright,Gossamer,Passion Pit,2012-08-08,262453,4,0.52,9.13e-05,0.52,0.873,1.96e-06,0.226,-5.365,0.0572,140.027,4
2806,Carried Away,Gossamer,Passion Pit,2012-08-08,221973,3,0.772,0.0176,0.772,0.826,8.56e-06,0.383,-5.135,0.0344,119.995,4
2807,Constant Conversations,Gossamer,Passion Pit,2012-08-08,235600,4,0.56,0.174,0.56,0.799,0.0679,0.304,-4.466,0.0675,69.972,4
2808,Mirrored Sea,Gossamer,Passion Pit,2012-08-08,246280,2,0.542,0.00138,0.542,0.855,0.0614,0.294,-6.13,0.0427,136.035,4
2809,Cry Like A Ghost,Gossamer,Passion Pit,2012-08-08,263213,2,0.555,0.00525,0.555,0.612,0.0,0.346,-7.841,0.0353,100.036,4
2810,On My Way,Gossamer,Passion Pit,2012-08-08,227066,12,0.458,0.0214,0.458,0.68,1.31e-05,0.1,-6.16,0.0306,115.017,4
2811,Hideaway,Gossamer,Passion Pit,2012-08-08,231173,1,0.468,0.00707,0.468,0.843,1.46e-05,0.305,-6.1,0.056,135.095,4
2812,Two Veils To Hide My Face,Gossamer,Passion Pit,2012-08-08,33533,1,0.881,0.963,0.881,0.14,0.0,0.236,-14.726,0.466,115.187,4
2813,Love Is Greed,Gossamer,Passion Pit,2012-08-08,260279,3,0.541,0.0426,0.541,0.77,1.18e-06,0.218,-6.03,0.0298,101.066,4
2814,"It's Not My Fault, I'm Happy",Gossamer,Passion Pit,2012-08-08,305680,3,0.569,0.0101,0.569,0.857,0.0145,0.141,-5.571,0.0337,104.981,4
2815,Where We Belong,Gossamer,Passion Pit,2012-08-08,299306,1,0.27,0.00785,0.27,0.575,0.0709,0.13,-8.742,0.0414,151.365,3
2816,Almost There,Gossamer,Passion Pit,2012-08-08,256880,1,0.389,0.00278,0.389,0.713,0.331,0.535,-9.111,0.033,113.132,4
2817,American Blood,Gossamer,Passion Pit,2012-08-08,262840,1,0.446,0.004,0.446,0.797,6.27e-05,0.103,-5.668,0.0385,154.332,4
2818,Constant Conversations - Stripped,Gossamer,Passion Pit,2012-08-08,259186,1,0.636,0.873,0.636,0.685,0.000941,0.109,-7.917,0.0851,68.17,4
2819,Take a Walk - BURNS' SFTCR VERSION,Gossamer,Passion Pit,2012-08-08,249733,0,0.465,0.00136,0.465,0.898,0.000144,0.661,-6.246,0.469,96.016,4
2820,Take a Walk - Taku Takahashi & El Poco Maro Remix,Gossamer,Passion Pit,2012-08-08,359893,8,0.567,0.00969,0.567,0.866,8.54e-06,0.206,-5.516,0.0623,127.005,4
2821,You Might Think He Loves You for Your Money but I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat,Government Plates,Death Grips,2013-11-13,161133,53,0.317,0.00187,0.317,0.853,0.000702,0.254,-2.751,0.186,103.37,4
2822,Anne Bonny,Government Plates,Death Grips,2013-11-13,207385,44,0.512,0.0177,0.512,0.85,0.0,0.411,-3.287,0.422,90.397,3
2823,Two Heavens,Government Plates,Death Grips,2013-11-13,182003,41,0.652,0.0353,0.652,0.85,0.0292,0.118,-5.919,0.283,108.83,5
2824,This Is Violence Now (Don't Get Me Wrong),Government Plates,Death Grips,2013-11-13,157732,37,0.673,0.00412,0.673,0.956,0.00236,0.338,-4.296,0.358,160.546,4
2825,Birds,Government Plates,Death Grips,2013-11-13,277862,43,0.483,0.68,0.483,0.732,0.000161,0.349,-4.307,0.345,124.008,4
2826,Feels Like a Wheel,Government Plates,Death Grips,2013-11-13,141714,35,0.414,0.0167,0.414,0.908,0.0015,0.479,-3.96,0.286,77.108,4
2827,I'm Overflow,Government Plates,Death Grips,2013-11-13,189003,36,0.52,0.0591,0.52,0.882,0.0,0.356,-5.009,0.295,84.96,4
2828,Big House,Government Plates,Death Grips,2013-11-13,138638,39,0.637,0.000294,0.637,0.78,0.271,0.137,-6.034,0.19,172.741,3
2829,Government Plates,Government Plates,Death Grips,2013-11-13,162025,36,0.324,0.0047,0.324,0.968,0.079,0.709,-4.882,0.268,111.679,3
2830,Bootleg (Don't Need Your Help),Government Plates,Death Grips,2013-11-13,126015,34,0.436,0.0787,0.436,0.782,0.000381,0.581,-5.109,0.217,76.275,4
2831,Whatever I Want (Fuck Who's Watching),Government Plates,Death Grips,2013-11-13,397748,39,0.223,0.0442,0.223,0.941,2.19e-05,0.658,-2.935,0.204,130.753,3
2832,Workship,Green Language,Rustie,2014-08-25,120146,10,0.125,0.00257,0.125,0.255,0.932,0.307,-13.603,0.0552,82.355,4
2833,A Glimpse,Green Language,Rustie,2014-08-25,134680,12,0.264,0.000737,0.264,0.77,0.719,0.377,-9.828,0.048,126.26,4
2834,Raptor,Green Language,Rustie,2014-08-25,248626,34,0.454,7.32e-06,0.454,0.759,0.903,0.869,-8.386,0.0529,140.066,4
2835,Paradise Stone,Green Language,Rustie,2014-08-25,154280,13,0.386,0.0515,0.386,0.531,0.0128,0.281,-12.533,0.0898,98.682,3
2836,Up Down,Green Language,Rustie,2014-08-25,223720,22,0.623,0.0242,0.623,0.766,0.0,0.578,-5.132,0.109,137.015,4
2837,Attak,Green Language,Rustie,2014-08-25,181106,49,0.384,0.0363,0.384,0.853,0.0,0.511,-5.412,0.276,136.822,4
2838,Tempest,Green Language,Rustie,2014-08-25,103733,12,0.192,2.26e-05,0.192,0.597,0.0166,0.101,-6.493,0.0494,122.156,4
