title,artist,af_score,review_date,pf_score,best_new_music,author,pub_date,id
sprinter,torres,5.0,2015-05-07,8.0,0.0,jillian mapes,2015-05-07,1wxCJeQNOoNiZmaN6Ma4js
sremmlife 2,rae sremmurd,6.0,2016-08-18,7.6,0.0,sheldon pearce,2016-08-15,2KhzKZOq9MVNSCKkNkLtbp
star wars,wilco,6.0,2015-08-03,7.7,0.0,ian cohen,2015-07-23,5yHC5HGL7CbdbzgqSzuaoP
starboy,the weeknd,5.0,2016-11-28,6.7,0.0,mehan jayasuriya,2016-11-30,2ODvWsOgouMbaA5xf0RkJe
static,cults,4.0,2013-10-21,6.8,0.0,marc hogan,2013-10-14,6WnfWrfsfu7T9TXbHIFHX9
stillness in wonderland,little simz,5.0,2017-01-16,7.1,0.0,katherine st. asaph,2017-01-05,7r96hilTCSMBPqqhnYouRw
strange mercy,st. vincent,8.0,2011-09-13,9.0,1.0,ryan dombal,2011-09-13,5x7cI8aHmaqk03KKl1Auh1
strangers,marissa nadler,8.0,2016-05-25,7.6,0.0,marcus j. moore,2016-05-21,6u10cQ3OuOlWTQDaXZIjcf
strangers to ourselves,modest mouse,5.0,2015-03-16,6.4,0.0,jayson greene,2015-03-17,6iKqPv9C5oU29LR82N8lJf
success,ken mode,8.0,2015-06-21,5.9,0.0,grayson haver currin,2015-06-15,5fFfmdI5kbImjXK36NWFcM
suck it and see,arctic monkeys,5.0,2011-06-07,7.5,0.0,marc hogan,2011-06-09,2KhJyDQAtauN6plT5PkfnV
summer knights,joey bada$$,7.0,2013-07-03,6.8,0.0,corban goble,2013-07-12,16KdSB0v7RqYwRjylZCpfn
sun and shade,woods,5.0,2011-06-06,7.9,0.0,mark richardson,2011-06-02,1rZJIfmPw3VT6s84lcTBom
sun coming down,ought,8.0,2015-09-25,8.0,0.0,stuart berman,2015-09-15,4MxLa2uPSGSus8XCSivcOD
sun structures,temples,5.0,2014-02-25,5.5,0.0,jayson greene,2014-02-12,3zjlHX18RBN9h4kMQ1X4KC
sunbather,deafheaven,8.0,2013-05-31,8.9,1.0,brandon stosuy,2013-06-11,2kKXGWaCEl06EKZ4DxBJIT
sunbathing animal,parquet courts,4.0,2014-06-05,8.6,1.0,larry fitzmaurice,2014-06-04,6QLvKr5uNyu6fwFXroL8oE
surf,donnie trumpet & the social experiment,4.0,2015-06-04,8.3,1.0,david drake,2015-06-05,3eM1KTKmpqrQOvuvYY42cr
surfing the void,klaxons,4.0,2010-08-29,7.2,0.0,ian cohen,2010-08-26,77SBywhAek4ax1mkkiCF25
sweet heart sweet light,spiritualized,8.0,2012-04-16,8.8,1.0,ryan dombal,2012-04-16,6MQRQ17HwDLjNFLBQ4PCYa
swing lo magellan,dirty projectors,6.0,2012-07-06,8.8,1.0,grayson currin,2012-07-09,5zQgu9qi6mK8KuleuzM22C
synthetica,metric,3.0,2012-06-22,7.0,0.0,matthew perpetua,2012-06-11,3Dmsk4IC23AFGHEXvNoJVs
syro,aphex twin,6.0,2014-09-26,8.7,1.0,mark richardson,2014-09-22,0HqN7Cd4XsZGvj2NgwEmFO
"take care, take care, take care",explosions in the sky,5.0,2011-04-28,7.2,0.0,joe tangari,2011-04-25,5g2CNuItRDkZWD3QdCk6O7
take the kids off broadway,foxygen,8.0,2012-07-09,7.9,0.0,steven hyden,2012-07-23,7usMqTegkIEWcERDDK5i9L
teens of denial,car seat headrest,8.0,2016-05-24,8.5,1.0,jeremy gordon,2016-05-20,3KpYyDP8q8sUBxatHaYEsP
teens of style,car seat headrest,7.0,2015-11-06,8.1,0.0,jeremy gordon,2015-10-28,7s2vwXfI8Ki49zYIfTTkRT
teethed glory and injury,altar of plagues,9.0,2013-05-07,6.8,0.0,grayson currin,2013-05-06,4ctGQ5IIOwmA2FmzM0c22A
